Rocket,Variant,BECO,MECO,SEI,SECO
Angara A5,-,81.9,148.4,148.4,256.8
Angara A5 Orion,-,59,82,82,140
Angara A5 Persei,-,81.9,148.4,148.4,256.8
Antares 230,-,,104,149.6,215.2
Ariane 5ECA,-,70,215,215,688
Astra Rocket 3,-,,110,132,497
Atlas V 401,-,,139.6,139.6,401.1
Atlas V 511,G,106,511,544,250
Atlas V 531,G,106,511,544,250
Atlas V 531,G1,106,511,544,250
Atlas V 541,-,106,511,544,250
Atlas V 541,G,106,511,544,250
Atlas V 551,-,106,511,544,250
Atlas V 551,G,106,511,544,250
Atlas V N22,-,106,511,544,250
Delta 4H,-,96.5,181.5,203.5,418
Electron (Curie),-,,74.9,81.4,200.8
Epsilon-2 CLPS,-,,82.5,144,218.2
Falcon 9 v1.2,-,,66.9,78.4,211.4
Falcon Heavy,-,55.9,115,120,166
Firefly Alpha,-,,69,75,500
GSLV Mk II,-,69.6,70.1,70.1,132.1
GSLV Mk III,-,73.1,282.2,286.3,602.4
H-IIA 202,-,47,230,239,399
H-IIA 204,-,47,230,239,399
H-IIB,-,53,184,194,289
LauncherOne,-,,91.3,100,209.3
Long March (CZ) 2C,-,,47.1,48.3,146.9
Long March (CZ) 2C/YZ-1S,-,,47.1,48.3,146.9
Long March (CZ) 3B,-,53.9,71,72.5,190.3
Long March (CZ) 3C,-,48.7,64.7,66.1,181.9
Minotaur 1,-,,17.8,17.8,71.7
Minotaur-4,-,,24.2,24.2,111.2
New Glenn,-,,108,108,305
Nuri,-,,64.5,64.5,258
Pegasus XL,-,,49.7,70.1,143.8
Proton-M,Enhanced,,42,42,132
Proton-M/Briz-M,Enhanced,,43.5,43.5,130.5
Proton-M/DM-3,Enhanced,,43,43,133
PSLV-CA,-,,50.7,50.9,174.1
PSLV-DL,-,23.9,59.1,59.3,187.8
PSLV-XL,-,34.2,68.9,69.1,244.9
Soyuz-2-1A,-,49,116,116,194.5
Soyuz-2-1A,Fregat,44,190,190,373
Soyuz-2-1A,Fregat-M,44,190,190,373
Soyuz-2-1B,-,46,145,145,193
Soyuz-2-1B,Fregat,42.4,135.8,136.4,238.6
Soyuz-2-1B,Fregat-M,42.4,135.8,136.4,238.6
Soyuz-ST-A,Fregat-M,44,190,190,373
Soyuz-ST-B,Fregat-MT,43,157,157,250
Space Launch System - Block 1 Crew,-,48.2,162,1810.5,1810.5
SSLV,-,,92.6,92.6,267.4
Starship,-,,58.4,58.4,150
Terran-1,-,,73,108,
Vega,-,,52,52,113
Vega C,-,,60,60,121
